timestamp, Sun Apr 22 23:46:59 2001 PT
Yahoo! Sports http://sports.yahoo.com, The data is for personal use only and any reproduction or distribution for commercial purposes is expressly prohibited.
ID,TEAM,NAME,FULLNAME,STATUS,POS,AVG,BAT,HIT,DOUBLE,TRIPLE,HOMER,WALK,STEAL,HAND,CAUGHT,SAC_HIT,SAC_FLY,ERROR,RUN,RBI,PASSED,SO,GAMES,SLUGGING,HIT_BY,ON_BASE,ERA,WIN,LOSS,SAVE,INNING,H,BB,K,HR,R,ER,HIT_BAT,WP,BALK,WINNING,START,COMPLETE,SHUTOUT
2743,LOS,K Brown,Kevin Brown,A,SP,0,6,0,0,0,0,0,0,R,0,0,0,1,0,0,0,3,3,0,1,143,0.93,2,1,0,19.1,14,3,17,1,7,2,1,0,1,667,3,1,0
2753,NYY,Clemens,Roger Clemens,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,5,2,0,0,27,28,10,20,1,15,15,1,3,0,1000,4,0,0
2754,PHI,Cormier,Rheal Cormier,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,4.5,1,0,0,3.2,5,1,0,0,2,2,0,0,0,1000,0,0,0
2764,SEA,Sele,Aaron Sele,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,2.25,2,0,0,18,24,5,8,0,6,6,1,0,0,1000,3,0,0
2799,LOS,Adams,Terry Adams,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,1.5,0,1,0,10,9,2,10,1,2,2,0,0,0,0,0,0,0
2824,ARI,B Anderson,Brian Anderson,I,SP,0,2,0,0,0,0,0,0,L,0,0,0,1,0,0,0,0,2,0,0,0,14.14,0,2,0,7,13,3,1,5,14,11,0,0,0,0,2,0,0
2830,CLE,Finley,Chuck Finley,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,6.45,1,2,0,22.1,25,6,18,5,16,16,0,0,0,333,4,1,0
2832,STL,James,Mike James,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,0,6.48,1,0,0,8.1,15,2,5,3,7,6,0,1,0,1000,0,0,0
2839,ANA,Percival,Troy Percival,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,3.1,0,2,4,0,0,0,0,0,0,1000,0,0,0
2844,ARI,R Springer,Russ Springer,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,6.48,0,0,0,7.1,10,2,5,1,6,5,0,2,0,0,0,0,0
